Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long
202 000 000 001,7,3,2020,1015,1,91,91657,2,3,1,3,HENRI BARBUSSE (AVENUE),48.70535,2.43841
202 000 000 002,7,3,2020,515,2,91,91657,2,9,7,6,MOUSSEAUX(CHEMIN),48.69,2.41
202 000 000 003,7,3,2020,810,1,91,91174,2,2,1,3,CARNOT(AVENUE),48.61067,2.47582
202 000 000 004,7,3,2020,1130,5,91,91215,2,1,1,6,VICTOR HUGO (AVENUE),48.69782,2.52446
202 000 000 005,7,3,2020,660,1,77,77181,1,6,1,2,LAGNY  (RUE DE  ) - D35,48.8286457,2.7059707
202 000 000 006,5,3,2020,420,2,76,76114,1,2,2,3,D6015,49.5763988,0.5101875
202 000 000 007,6,3,2020,1229,5,68,68297,2,1,1,2,Avenue du General de Gaulle,47.582495,7.556327
202 000 000 008,7,3,2020,620,1,64,64024,2,3,8,3,Boulevard du Bayonne Anglet Biarritz,43.49381,-1.52307
202 000 000 009,6,3,2020,495,1,62,62757,2,2,1,6,CALAIS (RUE DE ....19A 71 ET 28 A 110),50.7570746,2.232542
202 000 000 010,4,3,2020,245,3,62,62540,1,1,1,1,CD941,50.4582925,2.5756715
202 000 000 011,5,3,2020,710,1,59,59143,2,3,1,-1,BEAUCHAMP  (RUE LEON ),50.6785,2.8742
202 000 000 012,7,3,2020,300,4,56,56260,2,1,1,6,LECLERC(RUE DU MARECHAL),47.65811,-2.75139
202 000 000 013,7,3,2020,375,5,54,54578,1,1,1,6,MULLER (AVENUE PAUL),48.670075,6.158319
202 000 000 014,7,3,2020,800,1,51,51454,2,7,1,2,Avenue de l’Europe,49.2556464,4.611947
202 000 000 015,3,3,2020,1220,5,48,48095,2,1,9,6,GEORGES CLEMENCEAU (AVENUE),44.52258,3.50279
202 000 000 016,7,3,2020,1020,1,35,35238,2,1,1,4,VERN (DE),48.980371,-1.6554889
202 000 000 017,7,3,2020,825,1,35,35238,2,1,1,6,GRIMAULT (2 BD LEON),48.914,-1.65625
202 000 000 018,7,3,2020,100,5,35,35238,2,2,1,3,CHATEAUGIRON (DE),48.9527,-1.63776
202 000 000 019,26,2,2020,825,1,31,31483,1,1,2,7,Route de la Serre de Cazaux,43.119521,0.726779
202 000 000 020,7,3,2020,895,1,26,26281,2,2,1,3,40 Avenue du 8 Mai,45.468,5.8133
202 000 000 021,7,3,2020,915,1,22,22113,2,9,8,6,FORLAC'H (RUE DU),48.732507,-3.453963
202 000 000 022,7,3,2020,1100,1,17,17300,2,1,1,6,LUXEMBOURG   AVENUE DE,46.16926,-1.17864
202 000 000 023,7,3,2020,1270,5,13,13216,2,1,1,7,RUISSEAU MI (RUE),43.3481,5.3447
202 000 000 024,7,3,2020,180,5,13,13201,2,1,1,2,BRETEUIL (RUE)    2 A 18,43.292621,5.374876
202 000 000 025,7,3,2020,885,1,6,6069,2,1,1,2,Route de Cannes,43.6243,6.9655
202 000 000 026,7,3,2020,795,1,6,6027,2,1,1,1,VAL FLEURI CHEMIN DU,43.66502,7.17091
202 000 000 027,6,3,2020,1140,3,6,6123,2,1,1,1,CURIE PIERRE ET MARIE AVENUE,43.68967,7.18571
202 000 000 028,7,3,2020,825,1,75,75113,2,3,1,6,RUE DE LA SANTE,48.828815,2.34152
202 000 000 029,2,3,2020,915,1,75,75117,2,4,1,7,RUE VILLARET DE JOYEUSE,48.876957,2.289927
202 000 000 030,5,3,2020,1200,5,75,75116,2,3,2,3,RUE SCHEFFER,48.86028,2.284616
202 000 000 031,4,3,2020,1200,3,75,75117,2,3,2,3,BOULEVARD DE REIMS,48.889165,2.29753
202 000 000 032,6,3,2020,1240,5,75,75114,2,1,1,3,BOULEVARD ARAGO,48.834481,2.334212
202 000 000 033,7,3,2020,610,1,75,75110,2,1,1,6,BOULEVARD DE MAGENTA,48.882726,2.350288
202 000 000 034,7,3,2020,940,1,75,75107,2,5,1,7,QUAI BRANLY,48.862265,2.301545
202 000 000 035,6,3,2020,1260,5,75,75104,2,7,1,3,QUAI DE GESVRES,48.857181,2.347327
202 000 000 036,7,3,2020,900,1,94,94044,2,1,1,3,PRESIDENT WILSON (AV DU),48.7514083,2.4909836
202 000 000 037,7,3,2020,825,1,94,94033,2,2,1,2,MARECHAL DE LATTRE DE TASSIGNY (AV DU),48.8596,2.49
202 000 000 038,7,3,2020,1200,5,94,94019,2,3,1,1,LIBERATION (RTE DE LA),48.801551,2.540676
202 000 000 039,6,3,2020,1380,5,94,94017,2,1,8,3,MUSSELBURGH (R DE),48.810245,2.518189
202 000 000 040,7,3,2020,680,1,93,93072,2,1,1,1,PAUL VAILLANT COUTURIER (AVENUE) COTE 1A,48.95511,2.38269
202 000 000 041,7,3,2020,1185,5,93,93050,2,3,1,6,AV GENERAL DE GAULLE / R GAMBETTA,48.85749,2.53251
202 000 000 042,7,3,2020,900,1,93,93046,2,1,1,3,AV DU MARECHAL LECLERC,48.92074,2.5406
202 000 000 043,7,3,2020,375,2,93,93045,2,9,1,2,R DE PARIS,48.87843,2.41159
202 000 000 044,7,3,2020,765,1,93,93027,2,1,1,6,SALENGRO (AVENUE ROGER),48.9356023,2.3873517
202 000 000 045,7,3,2020,1005,1,93,93014,2,1,1,5,GAGARINE (BOULEVARD),48.905699,2.540317
202 000 000 046,7,3,2020,900,1,93,93005,2,1,1,3,CARR LOUIS ARMAND,48.955999,2.480546
202 000 000 047,7,3,2020,160,5,92,92025,2,9,1,7,BOURNARD (RUE DU),48.922932,2.255344
202 000 000 048,7,3,2020,1436,5,54,54322,2,1,1,1,rue de metz,49.440407,5.611739
202 000 000 049,7,3,2020,855,1,91,91666,2,1,1,1,Route d'Orsay,48.685452,2.219791
202 000 000 050,8,3,2020,300,3,66,66141,1,1,1,2,D900,42.751668,2.895294
202 000 000 051,6,3,2020,405,5,56,56117,2,1,2,6,Rue Ernest Renan,47.889989,-2.830696
202 000 000 052,8,3,2020,830,1,65,65127,1,1,1,3,RD817,43.112967,0.321414
202 000 000 053,7,3,2020,1027,1,49,49218,1,1,1,6,Les Fretis (le Fuilet),47.2965077,-1.1239525
202 000 000 054,7,3,2020,315,3,49,49069,2,1,1,6,Rue des Mauges (Liré),47.340213,-1.16752
202 000 000 055,7,3,2020,890,1,68,68042,2,6,1,6,Rue du 19 Novembre,47.607715,7.503163
202 000 000 056,7,3,2020,770,1,44,44015,1,1,2,6,La Foue,47.489789,-1.684127
202 000 000 057,8,3,2020,390,2,31,31476,2,1,1,6,Chemin de l'Auberge,43.272815,1.134454
202 000 000 058,8,3,2020,190,5,38,38174,1,1,1,6,Route de la Côte Saint André,45.390281,5.350235
202 000 000 059,7,3,2020,665,1,38,38012,2,1,1,1,Route de Saint Genix,45.597943,5.630846
202 000 000 060,8,3,2020,930,1,84,84020,1,1,1,6,D943,43.825386,5.355824
202 000 000 061,8,3,2020,210,3,3,3306,1,1,1,6,Rue de Cusset,46.1219515,3.4653947
202 000 000 062,6,3,2020,535,1,72,72029,2,1,2,3,Avenue de la Division Leclerc,48.226077,0.12829
